Fecha,CFI (Neta de Ley 26075),Financ. Educativo (Ley 26075),SUBTOTAL,Transferencia de Servicios - Educacion,Transferencia de Servicios - Posoco,Transferencia de Servicios - Prosonu,Transferencia de Servicios - TOTAL,Imp. Bienes Personales (Ley 24.699),Imp. Bienes Personales (Ley 23.966 Art. 30),Imp. s/ los Activos Fdo. Educativo (Ley 23.906),I.V.A. (Ley 23.966 Art. 5 Pto. 2),Imp. Combustibles (Ley N.23966 Obras de Infraestructura),Imp. Combustibles (Ley N.23966 Vialidad Provincial),Imp. Combustibles (FO.NA.VI.),Fondo Compensador Deseq.Fisc. Provinciales,Reg.Simplif. p/Pequenos Contribuyentes (Ley N.24.977),TOTAL Recursos Origen Nacional (1),Compensacion Consenso Fiscal (2),Total - (1)+(2)
01/01/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2022,203154385.07,0.0,203154385.07,2475000.0,291667.0,450000.0,3216667.0,4975468.02,764093.64,0.0,2408997.84,0.0,0.0,0.0,0.0,487036.35,215006647.92,19657092.0,234663739.92
04/01/2022,138560331.57,0.0,138560331.57,0.0,0.0,0.0,0.0,5280576.06,810949.75,0.0,1590908.2,0.0,0.0,0.0,1499999.92,426421.64,148169187.14,19657092.0,167826279.14
05/01/2022,177429308.04,0.0,177429308.04,0.0,0.0,0.0,0.0,3201458.99,491655.14,0.0,2062129.82,0.0,0.0,0.0,0.0,912851.07,184097403.06,19657092.0,203754495.06
06/01/2022,171490463.89,0.0,171490463.89,0.0,0.0,0.0,0.0,1753283.52,269255.63,0.0,1807540.81,0.0,0.0,0.0,0.0,2234633.46,177555177.31,19657092.0,197212269.31
07/01/2022,208698991.27000004,0.0,208698991.27000004,0.0,0.0,0.0,0.0,1700836.89,261201.29000000004,0.0,2130803.13,0.0,0.0,0.0,0.0,767863.52,213559696.10000002,19657092.0,233216788.10000002
08/01/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/01/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/01/2022,206285889.07,0.0,206285889.07,0.0,0.0,0.0,0.0,2689392.47,413015.95,0.0,2253620.64,0.0,0.0,0.0,0.0,782506.83,212424424.96,19657092.0,232081516.96
11/01/2022,265669536.01,0.0,265669536.01,0.0,0.0,0.0,0.0,2496890.42,383452.99,0.0,2073230.27,0.0,0.0,0.0,0.0,711993.82,271335103.51,19657092.0,290992195.51
12/01/2022,1217986090.6299999,0.0,1217986090.6299999,0.0,0.0,0.0,0.0,5469993.01,840038.94,0.0,8777823.91,0.0,0.0,0.0,0.0,1430409.95,1234504356.44,19657092.0,1254161448.44
13/01/2022,1164730637.1200001,0.0,1164730637.1200001,0.0,0.0,0.0,0.0,11378010.26,1747346.22,0.0,8704276.05,0.0,0.0,0.0,0.0,1403837.91,1187964107.5600002,19657092.0,1207621199.5600002
14/01/2022,802489427.2599999,0.0,802489427.2599999,0.0,0.0,0.0,0.0,3334612.51,512103.82000000007,0.0,5401045.94,0.0,0.0,0.0,0.0,1157274.1,812894463.6299999,19657092.0,832551555.6299999
15/01/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/01/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/01/2022,439374040.03,0.0,439374040.03,0.0,0.0,0.0,0.0,4106776.32,630686.73,0.0,2301045.84,0.0,0.0,0.0,0.0,1134178.06,447546726.97999996,19657092.0,467203818.97999996
18/01/2022,473766941.83000004,0.0,473766941.83000004,0.0,0.0,0.0,0.0,2630439.46,403962.41,0.0,2763974.28,0.0,0.0,0.0,0.0,1091108.84,480656426.82000005,19657092.0,500313518.82000005
19/01/2022,577158519.63,0.0,577158519.63,0.0,0.0,0.0,0.0,3215974.76,493884.36,0.0,3162869.11,0.0,0.0,0.0,0.0,1712241.29,585743489.1500001,19657092.0,605400581.15
20/01/2022,592105334.69,0.0,592105334.69,0.0,0.0,0.0,0.0,2019827.86,310189.44,0.0,7467236.49,0.0,0.0,0.0,0.0,2028457.39,603931045.87,19657092.0,623588137.87
21/01/2022,1354933644.68,0.0,1354933644.68,0.0,0.0,0.0,0.0,33955411.66,5214607.73,0.0,15721039.57,5322280.31,10039282.37,34595089.16985,0.0,2907828.57,1462689184.0598502,19657092.0,1482346276.0598502
22/01/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/01/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/01/2022,855433147.13,0.0,855433147.13,0.0,0.0,0.0,0.0,2214505.3,340086.48,0.0,10012296.4,4147269.4199999995,7822889.12,26957459.3805,0.0,2263048.33,909190701.5604999,19657092.0,928847793.5604999
25/01/2022,1043715398.66,0.0,1043715398.66,0.0,0.0,0.0,0.0,5732779.87,880395.69,0.0,11779666.87,1994285.3,3761769.79,12962954.56995,0.0,13155531.91,1093982782.65995,19657092.0,1113639874.65995
26/01/2022,1044194154.88,0.0,1044194154.88,0.0,0.0,0.0,0.0,3076295.09,472433.45,0.0,12049217.62,11150148.85,21032242.98,72476527.1472,0.0,1071941.22,1165522961.2372,19657092.0,1185180053.2372
27/01/2022,586168529.23,0.0,586168529.23,0.0,0.0,0.0,0.0,3331863.61,511681.67,0.0,6345371.38,282323.77,532540.16,1835118.6579000002,0.0,614379.09,599621807.5679,19657092.0,619278899.5678998
28/01/2022,192479450.40000004,0.0,192479450.40000004,0.0,0.0,0.0,0.0,3271921.78,502476.27,0.0,2389572.47,253427.6,478034.06,1647292.1305500001,0.0,543524.0,201565698.71055004,19657092.0,221222790.71055004
29/01/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30/01/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/01/2022,357696889.34,0.0,357696889.34,0.0,0.0,0.0,0.0,3179289.81,488250.57,0.0,3997646.66,3192.71,6022.32,20752.746300000003,0.0,462571.97,365854616.12630004,19657092.0,385511708.12630004
01/02/2022,182972667.9,0.0,182972667.9,2475000.0,291667.0,450000.0,3216667.0,3420619.43,525312.1,0.0,2452134.13,0.0,0.0,0.0,0.0,480227.81,193067628.37,19657092.0,212724720.37
02/02/2022,200340512.69999996,0.0,200340512.69999996,0.0,0.0,0.0,0.0,5409022.82,830675.61,0.0,2563387.49,0.0,0.0,0.0,1499999.92,693256.56,211336855.09999996,19657092.0,230993947.09999996
03/02/2022,168072948.38,0.0,168072948.38,0.0,0.0,0.0,0.0,10587632.52,1625966.16,0.0,1805255.38,647208.01,1220812.05,4206884.536800001,0.0,740287.3,188906994.33679998,19657092.0,208564086.33679998
04/02/2022,177016936.66999996,0.0,177016936.66999996,0.0,0.0,0.0,0.0,12566899.28,1929926.54,0.0,1914784.22,3167.46,5974.7,20588.634000000002,0.0,3372232.34,196830509.84399995,19657092.0,216487601.84399995
05/02/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/02/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/02/2022,192570856.3,0.0,192570856.3,0.0,0.0,0.0,0.0,17296212.28,2656217.61,0.0,2009256.45,5441991.85,10265091.21,35373220.180649996,0.0,741854.26,266354700.14065003,19657092.0,286011792.14065003
08/02/2022,245477116.04,0.0,245477116.04,0.0,0.0,0.0,0.0,16964426.08,2605264.46,0.0,2388628.03,395337.74,745715.55,2569715.1513,0.0,761805.36,271908008.41129994,19657092.0,291565100.41129994
09/02/2022,251804149.39000002,0.0,251804149.39000002,0.0,0.0,0.0,0.0,24971514.63,3834930.78,0.0,2779663.64,0.0,0.0,0.0,0.0,1139529.98,284529788.42,19657092.0,304186880.42
